variable,item,response,n,valid_n,proportion,percentage,empty_category,sparse_category_lt_1pct
DPQ010,Little interest or pleasure,0,6154,8276,0.7435959400676655,74.35959400676654,FALSE,FALSE
DPQ010,Little interest or pleasure,1,1368,8276,0.1652972450459159,16.529724504591588,FALSE,FALSE
DPQ010,Little interest or pleasure,2,447,8276,0.05401159980666989,5.401159980666989,FALSE,FALSE
DPQ010,Little interest or pleasure,3,307,8276,0.037095215079748674,3.7095215079748676,FALSE,FALSE
DPQ020,Depressed mood or hopelessness,0,6171,8276,0.7456500724987917,74.56500724987917,FALSE,FALSE
DPQ020,Depressed mood or hopelessness,1,1454,8276,0.17568873852102465,17.568873852102467,FALSE,FALSE
DPQ020,Depressed mood or hopelessness,2,386,8276,0.04664088931851136,4.664088931851136,FALSE,FALSE
DPQ020,Depressed mood or hopelessness,3,265,8276,0.0320202996616723,3.2020299661672302,FALSE,FALSE
DPQ030,Sleep disturbance,0,5013,8276,0.6057274045432576,60.57274045432576,FALSE,FALSE
DPQ030,Sleep disturbance,1,1884,8276,0.2276462058965684,22.76462058965684,FALSE,FALSE
DPQ030,Sleep disturbance,2,617,8276,0.07455292411793137,7.4552924117931365,FALSE,FALSE
DPQ030,Sleep disturbance,3,762,8276,0.09207346544224262,9.207346544224263,FALSE,FALSE
DPQ040,Tiredness or low energy,0,4154,8276,0.5019333011116481,50.19333011116481,FALSE,FALSE
DPQ040,Tiredness or low energy,1,2676,8276,0.32334461092315125,32.334461092315124,FALSE,FALSE
DPQ040,Tiredness or low energy,2,750,8276,0.09062348960850652,9.062348960850652,FALSE,FALSE
DPQ040,Tiredness or low energy,3,696,8276,0.08409859835669406,8.409859835669407,FALSE,FALSE
DPQ050,Appetite disturbance,0,6149,8276,0.7429917834702755,74.29917834702755,FALSE,FALSE
DPQ050,Appetite disturbance,1,1291,8276,0.15599323344610924,15.599323344610925,FALSE,FALSE
DPQ050,Appetite disturbance,2,461,8276,0.05570323827936201,5.570323827936201,FALSE,FALSE
DPQ050,Appetite disturbance,3,375,8276,0.04531174480425326,4.531174480425326,FALSE,FALSE
DPQ060,Negative self-evaluation,0,6864,8276,0.8293861768970517,82.93861768970517,FALSE,FALSE
DPQ060,Negative self-evaluation,1,968,8276,0.11696471725471243,11.696471725471243,FALSE,FALSE
DPQ060,Negative self-evaluation,2,239,8276,0.02887868535524408,2.887868535524408,FALSE,FALSE
DPQ060,Negative self-evaluation,3,205,8276,0.024770420492991784,2.4770420492991785,FALSE,FALSE
DPQ070,Concentration difficulties,0,6846,8276,0.8272112131464475,82.72112131464475,FALSE,FALSE
DPQ070,Concentration difficulties,1,891,8276,0.10766070565490575,10.766070565490574,FALSE,FALSE
DPQ070,Concentration difficulties,2,251,8276,0.030328661188980182,3.0328661188980184,FALSE,FALSE
DPQ070,Concentration difficulties,3,288,8276,0.03479942000966651,3.4799420009666506,FALSE,FALSE
DPQ080,Psychomotor slowing or agitation,0,7406,8276,0.8948767520541324,89.48767520541324,FALSE,FALSE
DPQ080,Psychomotor slowing or agitation,1,528,8276,0.06379893668438859,6.379893668438859,FALSE,FALSE
DPQ080,Psychomotor slowing or agitation,2,196,8276,0.023682938617689706,2.3682938617689704,FALSE,FALSE
DPQ080,Psychomotor slowing or agitation,3,146,8276,0.01764137264378927,1.764137264378927,FALSE,FALSE
DPQ090,Thoughts of death or self-harm,0,7957,8276,0.9614548090865153,96.14548090865152,FALSE,FALSE
DPQ090,Thoughts of death or self-harm,1,233,8276,0.02815369743837603,2.8153697438376026,FALSE,FALSE
DPQ090,Thoughts of death or self-harm,2,51,8276,0.006162397293378444,0.6162397293378444,FALSE,TRUE
DPQ090,Thoughts of death or self-harm,3,35,8276,0.004229096181730304,0.4229096181730304,FALSE,TRUE
